task_id,occupation,berufenet_id,sector,label_5cat,task_text_en,task_text_de,skill_1_id,skill_1_en,skill_1_de,skill_1_rel,skill_2_id,skill_2_en,skill_2_de,skill_2_rel,skill_3_id,skill_3_en,skill_3_de,skill_3_rel,n_skills
BN_0605,Business Economist in Hotel Management,100730.0,other,ai_assisted,"Take over the management of a hotel offer, for example as a project manager.","Die Leitung eines Hotelangebots übernehmen, zum Beispiel als Projektleiter.",SK-OPS-007,Project Management,Projektmanagement,0.9,SK-SOC-005,Team Leadership,Teamführung,0.8,SK-COG-003,Planning & Organizing,Planen und Organisieren,0.75,3
BN_0606,Business Economist in Hotel Management,100730.0,other,stays_with_you,Coordinate commercial tasks and check the quality in hotel areas.,Kaufmännische Aufgaben koordinieren und die Qualität in den Hotelbereichen überprüfen.,SK-OPS-001,Quality Control & Inspection,Qualitätskontrolle und Inspektion,0.9,SK-SOC-021,Coordinating Across Teams,Teamübergreifend koordinieren,0.85,SK-COG-003,Planning & Organizing,Planen und Organisieren,0.75,3
BN_0607,Business Economist for Real Estate,59183.0,other,ai_assisted,Recognize the situation and describe options for selling or using properties.,Die Situation erkennen und Möglichkeiten für den Verkauf oder die Nutzung von Immobilien beschreiben.,SK-DOM-012,Real Estate & Property Valuation,Immobilien- und Grundstücksbewertung,0.85,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,0.8,SK-COG-004,Decision Making,Entscheidungsfindung,0.75,3
BN_0608,Business Economist for Real Estate,59183.0,other,ai_assisted,Determine the market situation and the wishes of the customers.,Die Marktsituation und die Wünsche der Kunden ermitteln.,SK-COG-008,Research & Analysis,Recherche und Analyse,0.9,,,,,,,,,1
BN_0609,Business Economist for Real Estate,59183.0,other,ai_assisted,Find new and practical marketing ideas by observing the competition.,Neue und praktische Vermarktungsideen durch die Beobachtung der Konkurrenz finden.,SK-COG-005,Creative Thinking,Kreatives Denken,0.9,SK-OPS-006,Marketing & Promotion,Marketing und Werbung,0.8,SK-COG-008,Research & Analysis,Recherche und Analyse,0.75,3
BN_0610,Business Economist for Real Estate,59183.0,other,stays_with_you,Discuss the concepts and adjust them if necessary.,Die Konzepte besprechen und gegebenenfalls anpassen.,SK-COG-018,Change Management,Veränderungsmanagement,0.85,SK-COG-004,Decision Making,Entscheidungsfindung,0.75,,,,,2
BN_0611,Business Economist for Real Estate,59183.0,other,ai_assisted,"Organize the sale or use of properties, possibly including financing.","Den Verkauf oder die Nutzung von Immobilien organisieren, eventuell auch die Finanzierung.",SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,0.85,SK-DOM-012,Real Estate & Property Valuation,Immobilien- und Grundstücksbewertung,0.75,SK-DOM-005,Financial Advisory,Finanzberatung,0.7,3
BN_0612,Business Economist for Real Estate,59183.0,other,high_ai_potential,Create appraisals for properties and review external appraisals.,Gutachten für Immobilien erstellen und externe Gutachten überprüfen.,SK-DOM-012,Real Estate & Property Valuation,Immobilien- und Grundstücksbewertung,0.95,SK-OPS-001,Quality Control & Inspection,Qualitätskontrolle und Inspektion,0.8,SK-COG-021,Accuracy & Thoroughness,Sorgfalt und Genauigkeit,0.75,3
BN_0613,Business Economist for Real Estate,59183.0,other,high_ai_potential,"Evaluate the values of buildings for loans, insurance, and rents.","Die Werte von Gebäuden für Kredite, Versicherungen und Mieten bewerten.",SK-DOM-012,Real Estate & Property Valuation,Immobilien- und Grundstücksbewertung,0.95,SK-OPS-023,Pricing & Cost Estimation,Preiskalkulation und Kostenschätzung,0.85,SK-COG-010,Risk Assessment,Risikobewertung,0.75,3
BN_0614,Business Economist for Real Estate,59183.0,other,ai_assisted,"Buy, sell, lease, or rent properties and land.","Immobilien und Grundstücke kaufen, verkaufen, verpachten oder vermieten.",SK-DOM-012,Real Estate & Property Valuation,Immobilien- und Grundstücksbewertung,0.95,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,0.9,SK-SOC-020,Contract Management,Vertragsmanagement,0.8,3
BN_0615,Business Economist for Real Estate,59183.0,other,ai_assisted,Check the progress of the use and adjust the plans.,Den Fortschritt der Nutzung überprüfen und die Planungen anpassen.,SK-COG-003,Planning & Organizing,Planen und Organisieren,0.9,SK-COG-018,Change Management,Veränderungsmanagement,0.85,SK-COG-004,Decision Making,Entscheidungsfindung,0.75,3
BN_0616,Business Economist for Real Estate,59183.0,other,stays_with_you,Handle inquiries and complaints from customers.,Anfragen und Beschwerden von Kunden bearbeiten.,SK-OPS-022,Customer Complaint Handling,Beschwerdemanagement,0.95,SK-SOC-009,Customer Service,Kundenbetreuung,0.85,SK-COG-002,Problem Solving,Problemlösung,0.75,3
BN_0617,Business Economist for Real Estate,59183.0,other,ai_assisted,"Review the results, write a final report, and make suggestions for improvement.","Die Ergebnisse überprüfen, einen Abschlussbericht schreiben und Verbesserungsvorschläge machen.",SK-SOC-002,Writing & Reporting,Schreiben und Berichten,0.9,SK-COG-011,Business Analysis,Geschäftsanalyse,0.85,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.8,3
BN_0618,Business Economist for Real Estate,59183.0,other,stays_with_you,Take on leadership tasks and manage employees.,Führungsaufgaben übernehmen und Mitarbeitende leiten.,SK-SOC-005,Team Leadership,Teamführung,0.95,SK-SOC-013,Supervision & Performance Management,Aufsicht und Leistungsmanagement,0.85,SK-SOC-007,Coaching & Mentoring,Coaching und Mentoring,0.75,3
BN_0619,Business Economist for Industry,59183.0,other,ai_assisted,Recognize the current situation and analyze the company's activities.,Die aktuelle Situation erkennen und die Unternehmensaktivitäten analysieren.,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.85,SK-COG-011,Business Analysis,Geschäftsanalyse,0.8,SK-COG-013,Evaluating Processes & Systems,Prozesse und Systeme bewerten,0.75,3
BN_0620,Business Economist for Industry,59183.0,other,ai_assisted,Develop new and actionable ideas for the company by observing the competition.,"Neue und umsetzbare Ideen für das Unternehmen entwickeln, indem man die Konkurrenz beobachtet.",SK-COG-005,Creative Thinking,Kreatives Denken,0.9,SK-COG-008,Research & Analysis,Recherche und Analyse,0.85,SK-COG-019,Taking Initiative,Eigeninitiative zeigen,0.75,3
BN_0621,Business Economist for Industry,59183.0,other,ai_assisted,Set the strategic direction of the company.,Die strategische Ausrichtung des Unternehmens festlegen.,SK-COG-009,Strategic Thinking,Strategisches Denken,0.95,SK-COG-004,Decision Making,Entscheidungsfindung,0.85,,,,,2
BN_0622,Business Economist for Industry,59183.0,other,high_ai_potential,Create price calculations for production and offers.,Preiskalkulationen für die Produktion und Angebote erstellen.,SK-OPS-023,Pricing & Cost Estimation,Preiskalkulation und Kostenschätzung,0.95,SK-COG-016,Working with Numbers,Arbeiten mit Zahlen,0.85,SK-COG-021,Accuracy & Thoroughness,Sorgfalt und Genauigkeit,0.75,3
BN_0623,Business Economist for Industry,59183.0,other,stays_with_you,Discuss the concepts and adjust them if necessary.,Die Konzepte besprechen und bei Bedarf anpassen.,SK-COG-018,Change Management,Veränderungsmanagement,0.85,SK-COG-013,Evaluating Processes & Systems,Prozesse und Systeme bewerten,0.7,,,,,2
BN_0624,Business Economist for Industry,59183.0,other,high_ai_potential,Check the production results and keep the production goals in mind.,Die Ergebnisse der Produktion überprüfen und die Produktionsziele im Blick behalten.,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.8,SK-OPS-016,Production Planning,Produktionsplanung,0.75,SK-OPS-002,Operations Management,Betriebsmanagement,0.7,3
BN_0625,Business Economist for Industry,59183.0,other,ai_assisted,Regularly review industrial activities and adjust to current conditions.,Die industriellen Aktivitäten regelmäßig überprüfen und an aktuelle Gegebenheiten anpassen.,SK-COG-018,Change Management,Veränderungsmanagement,0.85,SK-OPS-002,Operations Management,Betriebsmanagement,0.75,SK-COG-004,Decision Making,Entscheidungsfindung,0.7,3
BN_0626,Business Economist for Industry,59183.0,other,ai_assisted,"Control the results, write a final report, and make suggestions for improvement.","Die Ergebnisse kontrollieren, einen Abschlussbericht schreiben und Verbesserungsvorschläge machen.",SK-SOC-002,Writing & Reporting,Schreiben und Berichten,0.9,SK-COG-011,Business Analysis,Geschäftsanalyse,0.85,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.75,3
BN_0627,Business Economist for International Economics,59203.0,other,ai_assisted,Recognize the situation and analyze international business activities.,Die Situation erkennen und internationale Wirtschaftsaktivitäten analysieren.,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.9,SK-COG-001,Critical Thinking,Kritisches Denken,0.85,SK-COG-009,Strategic Thinking,Strategisches Denken,0.75,3
BN_0628,Business Economist for International Economics,59203.0,other,ai_assisted,Create international studies and plans for companies or authorities.,Internationale Studien und Pläne für Unternehmen oder Behörden erstellen.,SK-COG-008,Research & Analysis,Recherche und Analyse,0.95,SK-COG-009,Strategic Thinking,Strategisches Denken,0.85,SK-SOC-002,Writing & Reporting,Schreiben und Berichten,0.8,3
BN_0629,Business Economist for International Economics,59203.0,other,ai_assisted,Plan the strategic direction of a company.,Die strategische Ausrichtung eines Unternehmens planen.,SK-COG-009,Strategic Thinking,Strategisches Denken,0.95,SK-COG-003,Planning & Organizing,Planen und Organisieren,0.85,SK-COG-004,Decision Making,Entscheidungsfindung,0.75,3
BN_0630,Business Economist for International Economics,59203.0,other,ai_assisted,Develop financing plans and sales strategies.,Finanzierungspläne und Verkaufsstrategien entwickeln.,SK-COG-009,Strategic Thinking,Strategisches Denken,0.9,SK-COG-017,Budget & Financial Management,Budget- und Finanzmanagement,0.85,SK-COG-007,Financial Analysis,Finanzanalyse,0.8,3
BN_0631,Business Economist for International Economics,59203.0,other,stays_with_you,Discuss and adjust concepts.,Konzepte besprechen und anpassen.,SK-COG-018,Change Management,Veränderungsmanagement,0.85,SK-COG-009,Strategic Thinking,Strategisches Denken,0.7,,,,,2
BN_0632,Business Economist for International Economics,59203.0,other,stays_with_you,Improve warehouse organization and manage the flow of goods.,Die Lagerorganisation verbessern und die Warenströme steuern.,SK-OPS-003,Supply Chain & Logistics,Lieferkette und Logistik,0.95,SK-OPS-002,Operations Management,Betriebsmanagement,0.85,SK-OPS-021,Inventory & Stock Management,Bestands- und Lagerverwaltung,0.75,3
BN_0633,Business Economist for International Economics,59203.0,other,ai_assisted,Regularly review and adjust activities abroad.,Die Aktivitäten im Ausland regelmäßig überprüfen und anpassen.,SK-COG-018,Change Management,Veränderungsmanagement,0.85,SK-OPS-020,Monitoring & Surveillance,Überwachung und Kontrolle,0.75,,,,,2
BN_0634,Business Economist for International Economics,59203.0,other,high_ai_potential,Control the results and write a final report.,Die Ergebnisse kontrollieren und einen Abschlussbericht schreiben.,SK-SOC-002,Writing & Reporting,Schreiben und Berichten,0.95,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.85,SK-OPS-001,Quality Control & Inspection,Qualitätskontrolle und Inspektion,0.75,3
BN_0635,Business Economist for International Economics,59203.0,other,ai_assisted,Support major clients and handle international correspondence.,Großkunden betreuen und internationale Schreiben bearbeiten.,SK-SOC-009,Customer Service,Kundenbetreuung,0.9,SK-SOC-002,Writing & Reporting,Schreiben und Berichten,0.85,SK-TEC-009,Translation & Interpreting,Übersetzen und Dolmetschen,0.75,3
BN_0636,Business Economist for Marketing,59209.0,marketing,ai_assisted,Recognize the current situation and analyze marketing and sales activities.,Die aktuelle Situation erkennen und Marketing- sowie Vertriebsaktivitäten analysieren.,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.9,SK-OPS-006,Marketing & Promotion,Marketing und Werbung,0.85,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,0.8,3
BN_0637,Business Economist for Marketing,59209.0,marketing,ai_assisted,"Develop new and actionable marketing and sales ideas, for example through competitor analysis.","Neue und umsetzbare Marketing- und Vertriebsideen entwickeln, zum Beispiel durch Konkurrenzanalyse.",SK-OPS-006,Marketing & Promotion,Marketing und Werbung,0.9,SK-COG-005,Creative Thinking,Kreatives Denken,0.85,SK-COG-011,Business Analysis,Geschäftsanalyse,0.8,3
BN_0638,Business Economist for Marketing,59209.0,marketing,ai_assisted,Determine the unique selling advantage of a product or service.,Den einzigartigen Verkaufsvorteil eines Produkts oder einer Dienstleistung festlegen.,SK-COG-009,Strategic Thinking,Strategisches Denken,0.85,SK-OPS-006,Marketing & Promotion,Marketing und Werbung,0.8,SK-COG-005,Creative Thinking,Kreatives Denken,0.75,3
BN_0639,Business Economist for Marketing,59209.0,marketing,ai_assisted,Plan sales strategies.,Vertriebsstrategien planen.,SK-COG-009,Strategic Thinking,Strategisches Denken,0.95,SK-COG-003,Planning & Organizing,Planen und Organisieren,0.85,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,0.8,3
BN_0640,Business Economist for Marketing,59209.0,marketing,high_ai_potential,"Check the profitability of projects, for example by estimating timelines and budgets.","Die Wirtschaftlichkeit von Projekten prüfen, zum Beispiel Zeitpläne und Budgets einschätzen.",SK-COG-007,Financial Analysis,Finanzanalyse,0.95,SK-COG-017,Budget & Financial Management,Budget- und Finanzmanagement,0.85,SK-OPS-007,Project Management,Projektmanagement,0.8,3
BN_0641,Business Economist for Marketing,59209.0,marketing,ai_assisted,Create sales plans and promotions.,Verkaufspläne und Werbeaktionen erstellen.,SK-OPS-006,Marketing & Promotion,Marketing und Werbung,0.9,SK-COG-003,Planning & Organizing,Planen und Organisieren,0.8,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,0.75,3
BN_0642,Business Economist for Marketing,59209.0,marketing,stays_with_you,Discuss concepts and adjust them if necessary.,Konzepte besprechen und gegebenenfalls anpassen.,SK-COG-018,Change Management,Veränderungsmanagement,0.85,SK-COG-004,Decision Making,Entscheidungsfindung,0.8,SK-COG-002,Problem Solving,Problemlösung,0.75,3
BN_0643,Business Economist for Marketing,59209.0,marketing,stays_with_you,"Support implementation in various areas, coordinate tasks, and monitor interim goals.","Die Umsetzung in verschiedenen Bereichen unterstützen, Aufgaben koordinieren und Zwischenziele überwachen.",SK-SOC-021,Coordinating Across Teams,Teamübergreifend koordinieren,0.85,SK-COG-003,Planning & Organizing,Planen und Organisieren,0.8,SK-OPS-007,Project Management,Projektmanagement,0.7,3
BN_0644,Business Economist for Marketing,59209.0,marketing,stays_with_you,Negotiate with agencies and collaborate with marketing service providers.,Mit Agenturen verhandeln und mit Marketingdienstleistern zusammenarbeiten.,SK-SOC-003,Negotiation,Verhandlungsführung,0.95,SK-SOC-006,Teamwork & Collaboration,Teamarbeit und Zusammenarbeit,0.85,SK-OPS-006,Marketing & Promotion,Marketing und Werbung,0.75,3
BN_0645,Business Economist for Marketing,59209.0,marketing,ai_assisted,Regularly review and adjust marketing and sales activities.,Marketing- und Vertriebsaktivitäten regelmäßig überprüfen und anpassen.,SK-OPS-006,Marketing & Promotion,Marketing und Werbung,0.85,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,0.8,SK-COG-009,Strategic Thinking,Strategisches Denken,0.7,3
BN_0646,Business Economist for Marketing,59209.0,marketing,ai_assisted,Organize collaboration between departments.,Die Zusammenarbeit zwischen den Abteilungen organisieren.,SK-SOC-021,Coordinating Across Teams,Teamübergreifend koordinieren,0.9,SK-COG-003,Planning & Organizing,Planen und Organisieren,0.75,,,,,2
BN_0647,Business Economist for Marketing,59209.0,marketing,stays_with_you,Take on leadership tasks in marketing or sales and provide advice.,Führungsaufgaben im Marketing oder Vertrieb übernehmen und beraten.,SK-SOC-005,Team Leadership,Teamführung,0.9,SK-SOC-010,Counseling & Guidance,Beratung und Begleitung,0.85,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,0.75,3
BN_0648,Business Economist for Marketing,59209.0,marketing,ai_assisted,Take on tasks in management and corporate planning.,Aufgaben in der Geschäftsleitung und Unternehmensplanung übernehmen.,SK-COG-009,Strategic Thinking,Strategisches Denken,0.9,SK-COG-003,Planning & Organizing,Planen und Organisieren,0.8,SK-COG-004,Decision Making,Entscheidungsfindung,0.75,3
BN_0649,Business Economist - Accounting and Controlling,59215.0,finance,ai_assisted,Establish and improve internal accounting.,Das interne Rechnungswesen aufbauen und verbessern.,SK-OPS-009,Financial Transactions & Accounting,Finanzgeschäfte und Buchhaltung,0.9,SK-OPS-010,Record Keeping & Documentation,Aktenführung und Dokumentation,0.8,SK-COG-017,Budget & Financial Management,Budget- und Finanzmanagement,0.75,3
BN_0650,Business Economist - Accounting and Controlling,59215.0,finance,ai_assisted,Create guidelines for accounting.,Richtlinien für das Rechnungswesen erstellen.,SK-DOM-006,Policy & Regulation Development,Richtlinien- und Regelungsentwicklung,0.95,SK-OPS-009,Financial Transactions & Accounting,Finanzgeschäfte und Buchhaltung,0.8,SK-DOM-002,Regulatory Compliance,Regulatorische Compliance,0.75,3
BN_0651,Business Economist - Accounting and Controlling,59215.0,finance,ai_assisted,Build and optimize management information systems.,Managementinformationssysteme aufbauen und optimieren.,SK-COG-014,Information Management,Informationsmanagement,0.85,SK-DIG-011,IT Architecture & Design,IT-Architektur und -Design,0.8,SK-COG-013,Evaluating Processes & Systems,Prozesse und Systeme bewerten,0.75,3
BN_0652,Business Economist - Accounting and Controlling,59215.0,finance,ai_assisted,Analyze differences between planning data and accounting values.,Abweichungen zwischen Planungsdaten und Buchhaltungswerten analysieren.,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.95,SK-COG-007,Financial Analysis,Finanzanalyse,0.85,SK-COG-001,Critical Thinking,Kritisches Denken,0.8,3
BN_0653,Business Economist - Accounting and Controlling,59215.0,finance,ai_assisted,Support long-term business planning through strategic controlling.,Langfristige Unternehmensplanung durch strategisches Controlling unterstützen.,SK-COG-009,Strategic Thinking,Strategisches Denken,0.95,SK-COG-017,Budget & Financial Management,Budget- und Finanzmanagement,0.75,SK-COG-003,Planning & Organizing,Planen und Organisieren,0.7,3
BN_0654,Business Economist - Accounting and Controlling,59215.0,finance,high_ai_potential,Create key figures to evaluate business data.,Kennzahlen zur Bewertung von Unternehmensdaten erstellen.,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.9,SK-COG-007,Financial Analysis,Finanzanalyse,0.85,SK-COG-021,Accuracy & Thoroughness,Sorgfalt und Genauigkeit,0.7,3
BN_0655,Business Economist - Accounting and Controlling,59215.0,finance,ai_assisted,Conduct analyses and implement improvement suggestions.,Analysen durchführen und Verbesserungsvorschläge umsetzen.,SK-COG-011,Business Analysis,Geschäftsanalyse,0.9,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.8,SK-COG-002,Problem Solving,Problemlösung,0.75,3
BN_0656,Business Economist - Accounting and Controlling,59215.0,finance,ai_assisted,Set goals for business planning based on market analyses.,Ziele für die Unternehmensplanung basierend auf Marktanalysen festlegen.,SK-COG-009,Strategic Thinking,Strategisches Denken,0.9,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.85,SK-COG-004,Decision Making,Entscheidungsfindung,0.8,3
BN_0657,Business Economist - Accounting and Controlling,59215.0,finance,ai_assisted,investigate fraud cases in the company.,Betrugsfälle im Unternehmen untersuchen.,SK-COG-008,Research & Analysis,Recherche und Analyse,0.95,SK-COG-007,Financial Analysis,Finanzanalyse,0.85,SK-DOM-001,Legal Knowledge & Application,Rechtskenntnisse und -anwendung,0.78,3
BN_0658,Business Economist - Accounting and Controlling,59215.0,finance,ai_assisted,Take on management tasks in accounting or controlling.,Leitungsaufgaben im Rechnungswesen oder Controlling übernehmen.,SK-OPS-009,Financial Transactions & Accounting,Finanzgeschäfte und Buchhaltung,0.85,SK-COG-004,Decision Making,Entscheidungsfindung,0.8,SK-COG-017,Budget & Financial Management,Budget- und Finanzmanagement,0.75,3
BN_0659,Business Economist for Social Insurance,59217.0,finance,ai_assisted,"Analyze and evaluate the social benefits in pension, health, accident, unemployment, and long-term care insurance.","Analysiere und bewerte die Sozialleistungen in der Renten-, Kranken-, Unfall-, Arbeitslosen- und Pflegeversicherung.",SK-COG-013,Evaluating Processes & Systems,Prozesse und Systeme bewerten,0.9,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.85,SK-COG-001,Critical Thinking,Kritisches Denken,0.8,3
BN_0660,Business Economist for Social Insurance,59217.0,finance,ai_assisted,Work out changes to social insurance concepts in the main reports.,Arbeite Änderungen von Sozialversicherungskonzepten in den Grundsatzreferaten aus.,SK-DOM-006,Policy & Regulation Development,Richtlinien- und Regelungsentwicklung,0.9,SK-DOM-002,Regulatory Compliance,Regulatorische Compliance,0.75,SK-DOM-001,Legal Knowledge & Application,Rechtskenntnisse und -anwendung,0.7,3
BN_0661,Business Economist for Social Insurance,59217.0,finance,stays_with_you,Discuss concepts and adjust them if necessary.,Sprich Konzepte ab und passe sie gegebenenfalls an.,SK-COG-018,Change Management,Veränderungsmanagement,0.75,SK-SOC-021,Coordinating Across Teams,Teamübergreifend koordinieren,0.7,,,,,2
BN_0662,Business Economist for Social Insurance,59217.0,finance,stays_with_you,Support the implementation process in the functional areas and coordinate sub-tasks.,Begleite den Umsetzungsprozess in den Funktionsbereichen und koordiniere Teilaufgaben.,SK-SOC-021,Coordinating Across Teams,Teamübergreifend koordinieren,0.9,SK-COG-018,Change Management,Veränderungsmanagement,0.75,SK-OPS-007,Project Management,Projektmanagement,0.7,3
BN_0663,Business Economist for Social Insurance,59217.0,finance,stays_with_you,Advise and inform policyholders.,Berate und informiere Versicherungsnehmerinnen und Versicherungsnehmer.,SK-SOC-009,Customer Service,Kundenbetreuung,0.9,SK-SOC-010,Counseling & Guidance,Beratung und Begleitung,0.85,SK-DOM-005,Financial Advisory,Finanzberatung,0.75,3
BN_0664,Business Economist - Taxes and Audit,100730.0,finance,stays_with_you,Advise management on tax regulations.,Die Geschäftsleitung zu steuerlichen Vorschriften beraten.,SK-DOM-005,Financial Advisory,Finanzberatung,0.9,SK-DOM-002,Regulatory Compliance,Regulatorische Compliance,0.85,SK-DOM-001,Legal Knowledge & Application,Rechtskenntnisse und -anwendung,0.75,3
BN_0665,Business Economist - Taxes and Audit,100730.0,finance,sensitive,Create and analyze tax balances.,Steuerbilanzen erstellen und analysieren.,SK-COG-007,Financial Analysis,Finanzanalyse,0.9,SK-OPS-009,Financial Transactions & Accounting,Finanzgeschäfte und Buchhaltung,0.85,SK-COG-021,Accuracy & Thoroughness,Sorgfalt und Genauigkeit,0.8,3
BN_0666,Business Economist - Taxes and Audit,100730.0,finance,sensitive,Check tax assessments and file appeals if necessary.,Steuerbescheide prüfen und gegebenenfalls Rechtsmittel einlegen.,SK-DOM-001,Legal Knowledge & Application,Rechtskenntnisse und -anwendung,0.9,SK-DOM-002,Regulatory Compliance,Regulatorische Compliance,0.8,SK-COG-021,Accuracy & Thoroughness,Sorgfalt und Genauigkeit,0.75,3
BN_0667,Business Economist - Taxes and Audit,100730.0,finance,stays_with_you,Monitor deadlines for tax payments and instruct payments.,Fristen für Steuerzahlungen überwachen und Zahlungen anweisen.,SK-OPS-020,Monitoring & Surveillance,Überwachung und Kontrolle,0.9,SK-COG-022,Time Management,Zeitmanagement,0.85,SK-DOM-002,Regulatory Compliance,Regulatorische Compliance,0.8,3
BN_0668,Business Economist - Taxes and Audit,100730.0,finance,ai_assisted,Develop guidelines for accounting and manage tasks.,Richtlinien für das Rechnungswesen erarbeiten und Aufgaben steuern.,SK-DOM-006,Policy & Regulation Development,Richtlinien- und Regelungsentwicklung,0.95,SK-COG-003,Planning & Organizing,Planen und Organisieren,0.85,SK-OPS-009,Financial Transactions & Accounting,Finanzgeschäfte und Buchhaltung,0.75,3
BN_0669,Business Economist - Taxes and Audit,100730.0,finance,ai_assisted,Set inventory guidelines and deadlines.,Inventurrichtlinien und Termine festlegen.,SK-COG-003,Planning & Organizing,Planen und Organisieren,0.85,SK-COG-022,Time Management,Zeitmanagement,0.8,SK-OPS-021,Inventory & Stock Management,Bestands- und Lagerverwaltung,0.75,3
BN_0670,Business Economist - Taxes and Audit,100730.0,finance,sensitive,Evaluate audit reports.,Betriebsprüfungsberichte beurteilen.,SK-DOM-002,Regulatory Compliance,Regulatorische Compliance,0.9,SK-COG-001,Critical Thinking,Kritisches Denken,0.85,SK-COG-013,Evaluating Processes & Systems,Prozesse und Systeme bewerten,0.75,3
BN_0671,Business Economist - Taxes and Audit,100730.0,finance,ai_assisted,Write statements and expert opinions.,Stellungnahmen und Gutachten schreiben.,SK-SOC-002,Writing & Reporting,Schreiben und Berichten,0.95,SK-COG-001,Critical Thinking,Kritisches Denken,0.85,SK-COG-021,Accuracy & Thoroughness,Sorgfalt und Genauigkeit,0.8,3
BN_0672,Business Economist - Taxes and Audit,100730.0,finance,ai_assisted,Create business comparisons.,Betriebsvergleiche erstellen.,SK-COG-011,Business Analysis,Geschäftsanalyse,0.9,SK-COG-013,Evaluating Processes & Systems,Prozesse und Systeme bewerten,0.85,SK-COG-007,Financial Analysis,Finanzanalyse,0.75,3
BN_0673,Business Economist - Taxes and Audit,100730.0,finance,sensitive,"Conduct bookkeeping, balance, and accounting audits.","Buchführungs-, Bilanz- und Rechnungsprüfungen durchführen.",SK-OPS-009,Financial Transactions & Accounting,Finanzgeschäfte und Buchhaltung,0.95,SK-COG-007,Financial Analysis,Finanzanalyse,0.85,SK-DOM-002,Regulatory Compliance,Regulatorische Compliance,0.8,3
BN_0674,Business Economist - Taxes and Audit,100730.0,finance,ai_assisted,"Clarify questions about balance sheets, such as valuation methods.","Fragen zu Bilanzsätzen klären, wie Bewertungsmethoden.",SK-COG-007,Financial Analysis,Finanzanalyse,0.9,SK-OPS-023,Pricing & Cost Estimation,Preiskalkulation und Kostenschätzung,0.85,SK-COG-001,Critical Thinking,Kritisches Denken,0.8,3
BN_0675,Business Economist - Taxes and Audit,100730.0,finance,sensitive,Perform preparatory closing entries and create financial statements.,Vorbereitende Abschlussbuchungen durchführen und Abschlüsse erstellen.,SK-OPS-009,Financial Transactions & Accounting,Finanzgeschäfte und Buchhaltung,0.95,SK-COG-021,Accuracy & Thoroughness,Sorgfalt und Genauigkeit,0.85,SK-OPS-010,Record Keeping & Documentation,Aktenführung und Dokumentation,0.7,3
BN_0676,Business Economist - Taxes and Audit,100730.0,finance,sensitive,Create a profit and loss statement.,Eine Gewinn- und Verlustrechnung erstellen.,SK-OPS-009,Financial Transactions & Accounting,Finanzgeschäfte und Buchhaltung,0.95,SK-COG-007,Financial Analysis,Finanzanalyse,0.85,SK-COG-017,Budget & Financial Management,Budget- und Finanzmanagement,0.7,3
BN_0677,Business Economist - Taxes and Audit,100730.0,finance,stays_with_you,Hold meetings with auditors and inform management.,Besprechungen mit Wirtschaftsprüfern führen und die Geschäftsleitung informieren.,SK-DOM-002,Regulatory Compliance,Regulatorische Compliance,0.85,SK-SOC-011,Stakeholder Management,Stakeholder-Management,0.8,SK-SOC-002,Writing & Reporting,Schreiben und Berichten,0.7,3
BN_0678,Business Economist - Taxes and Audit,100730.0,finance,ai_assisted,Analyze annual reports.,Jahresabschlüsse analysieren.,SK-COG-007,Financial Analysis,Finanzanalyse,0.95,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.8,SK-COG-016,Working with Numbers,Arbeiten mit Zahlen,0.75,3
BN_0679,Business Economist - Taxes and Audit,100730.0,finance,ai_assisted,Investigate fraud cases in large companies.,In großen Unternehmen Betrugsfälle untersuchen.,SK-DOM-014,Forensic & Criminal Investigation,Forensik und Kriminalermittlung,0.95,SK-COG-008,Research & Analysis,Recherche und Analyse,0.85,SK-DOM-001,Legal Knowledge & Application,Rechtskenntnisse und -anwendung,0.8,3
